,by,descendants,id,kids,score,time,title,type,url,text
0,RafelMri,53.0,40643207,"[40644828, 40644869, 40643824, 40644023, 40644285, 40644054, 40644785, 40643908, 40644404, 40644751, 40644237, 40644218, 40643964, 40643821, 40644052, 40644577, 40643808, 40644093, 40644132, 40644401, 40643772, 40643855, 40644181, 40644433, 40644157]",110,1718087804,POV-Ray – The Persistence of Vision Raytracer,story,http://www.povray.org/,
1,throwaway-blaze,10.0,40643181,"[40644333, 40643182, 40643552, 40644698, 40643829]",85,1718087509,macOS Sequoia to Allow iCloud Logins in Virtual Machines on ARM Macs,story,https://developer.apple.com/documentation/virtualization/using_icloud_with_macos_virtual_machines?language=objc,
2,crowdhailer,34.0,40643167,"[40644331, 40644427, 40644849, 40644435, 40644350, 40644494, 40643997, 40644572]",87,1718087389,"Exploring Gleam, a type-safe language on the BEAM",story,https://christopher.engineering/en/blog/gleam-overview/,
3,2bit,359.0,40639506,"[40641415, 40640114, 40640837, 40640364, 40640302, 40644140, 40644666, 40642536, 40642453, 40640241, 40640131, 40643955, 40640261, 40639998, 40640011, 40643632, 40642527, 40642607, 40640155, 40642413, 40640123, 40642070, 40641060, 40642211, 40640868, 40640907, 40640008, 40639882, 40639995, 40640421, 40639955, 40643131, 40642757, 40641541]",708,1718055731,Apple's On-Device and Server Foundation Models,story,https://machinelearning.apple.com/research/introducing-apple-foundation-models,
4,ulrischa,6.0,40642871,"[40644867, 40644862, 40644521, 40643882, 40644105, 40643945]",67,1718084967,"NanoGPT: The simplest, fastest repository for training medium-sized GPTs",story,https://github.com/karpathy/nanoGPT,
5,calpaterson,21.0,40642476,"[40644318, 40644069, 40643994, 40644710, 40644185]",65,1718081515,DuckDB Isn't Just Fast,story,https://csvbase.com/blog/6,
6,skilled,5.0,40630952,"[40644871, 40644868, 40644860, 40630960]",24,1718002727,OpenWorm – creating a virtual organism in a computer,story,https://openworm.org/,
7,hggh,8.0,40631796,"[40644791, 40643619, 40644764, 40643440, 40643660, 40644673]",66,1718012865,Free Quality SoundFonts (Sf2),story,https://sites.google.com/site/soundfonts4u/,
8,serhack_,235.0,40639606,"[40642804, 40644008, 40640713, 40642152, 40642435, 40640489, 40641439, 40640535, 40640843, 40644592, 40644593, 40640988, 40643483, 40644027, 40641137, 40643295, 40641113, 40642905, 40640001, 40641043, 40641799, 40643533, 40642002, 40644364, 40640959, 40641965, 40640993, 40641564, 40642434, 40642455, 40640096, 40641546, 40640943, 40641359, 40640717, 40640351, 40641790, 40641232, 40642907, 40640823, 40643485, 40640528, 40641907, 40640704, 40641197, 40640240]",463,1718056387,Private Cloud Compute: A new frontier for AI privacy in the cloud,story,https://security.apple.com/blog/private-cloud-compute/,
9,craydandy,93.0,40623864,"[40638690, 40639279, 40639063, 40644599, 40638665, 40639961, 40643096, 40642193, 40642132, 40639073, 40638207, 40639521, 40643858, 40640207, 40641936, 40637550, 40640771, 40642358, 40642552, 40640141, 40643049, 40642367, 40643704, 40641620, 40640304, 40639457, 40639372, 40638602, 40639684, 40644254, 40639496, 40640169, 40639145, 40639572, 40640022, 40637833, 40638418, 40641759]",492,1717934539,I built an ROV to solve missing person cases,story,https://suanto.com/2024/06/06/the-time-I-built-an-ROV-01/,
