ANNEE_MODIF,COM_INI,COM_FIN,LIB_COM_INI,LIB_COM_FIN
2024,8053,8053,Bazeilles,Bazeilles
2024,8294,8053,La Moncelle,Bazeilles
2024,16097,16097,Cherves-Richemont,Val-de-Cognac
2024,16355,16097,Saint-Sulpice-de-Cognac,Val-de-Cognac
2024,18131,18173,Lugny-Bourbonnais,Osmery
2024,18173,18173,Osmery,Osmery
2024,25060,25060,Bians-les-Usiers,Val-d’Usiers
2024,25282,25060,Goux-les-Usiers,Val-d’Usiers
2024,25549,25060,Sombacour,Val-d’Usiers
2024,35062,35062,La Chapelle-Janson,La Chapelle-Fleurigné
2024,35112,35062,Fleurigné,La Chapelle-Fleurigné
2024,49160,49160,Ingrandes-Le Fresne sur Loire,Ingrandes-le-Fresne-sur-Loire
2024,49321,49160,Saint-Sigismond,Ingrandes-le-Fresne-sur-Loire
2024,64300,64300,Lacq,Lacq
2024,64541,64300,Urdès,Lacq
2024,69149,69149,Oullins,Oullins-Pierre-Bénite
2024,69152,69149,Pierre-Bénite,Oullins-Pierre-Bénite
2024,85041,85292,Cezais,Rives-du-Fougerais
2024,85271,85292,Saint-Sulpice-en-Pareds,Rives-du-Fougerais
2024,85292,85292,Thouarsais-Bouildroux,Rives-du-Fougerais
2024,86231,86247,Saint-Macoux,Val-de-Comporté
2024,86247,86247,Saint-Saviol,Val-de-Comporté
2024,95169,95169,Commeny,Commeny
2024,95282,95169,Gouzangrez,Commeny
2023,1039,1138,Béon,Culoz-Béon
2023,1138,1138,Culoz,Culoz-Béon
2023,2077,2564,Berzy-le-Sec,Bernoy-le-Château
2023,2564,2564,Noyant-et-Aconin,Bernoy-le-Château
2023,9056,9056,Bézac,Bézac
2023,9255,9056,Saint-Amans,Bézac
2023,16140,16206,Fontclaireau,Mansle-les-Fontaines
2023,16206,16206,Mansle,Mansle-les-Fontaines
2023,50015,50272,Annoville,Tourneville-sur-Mer
2023,50272,50272,Lingreville,Tourneville-sur-Mer
2023,51063,51457,Binson-et-Orquigny,Coeur-de-la-Vallée
2023,51457,51457,Reuil,Coeur-de-la-Vallée
2023,51637,51457,Villers-sous-Châtillon,Coeur-de-la-Vallée
2023,71042,71042,Bonnay,Bonnay-Saint-Ythaire
2023,71492,71042,Saint-Ythaire,Bonnay-Saint-Ythaire
2023,85037,85289,Breuil-Barret,Terval
2023,85053,85289,La Chapelle-aux-Lys,Terval
2023,85289,85289,La Tardière,Terval
2022,2054,2054,Bazoches-sur-Vesles,Bazoches-et-Saint-Thibaut
2022,2695,2054,Saint-Thibaut,Bazoches-et-Saint-Thibaut
2022,16010,16186,Ambleville,Lignières-Ambleville
2022,16186,16186,Lignières-Sonneville,Lignières-Ambleville
2022,19092,19143,Le Jardin,Montaignac-sur-Doustre
2022,19143,19143,Montaignac-Saint-Hippolyte,Montaignac-sur-Doustre
2022,24089,24325,Cazoulès,Pechs-de-l'Espérance
2022,24314,24325,Orliaguet,Pechs-de-l'Espérance
2022,24325,24325,Peyrillac-et-Millac,Pechs-de-l'Espérance
2022,25134,25185,Châtillon-sur-Lison,Cussey-sur-Lison
2022,25185,25185,Cussey-sur-Lison,Cussey-sur-Lison
2022,25375,25375,Mérey-sous-Montrond,Les Monts-Ronds
2022,25628,25375,Villers-sous-Montrond,Les Monts-Ronds
2022,26216,26216,La Motte-de-Galaure,Saint-Jean-de-Galaure
2022,26219,26216,Mureils,Saint-Jean-de-Galaure
2022,56049,56213,Croixanvec,Saint-Gérand-Croixanvec
2022,56213,56213,Saint-Gérand,Saint-Gérand-Croixanvec
2022,85001,85001,L'Aiguillon-sur-Mer,L'Aiguillon-la-Presqu'île
2022,85307,85001,La Faute-sur-Mer,L'Aiguillon-la-Presqu'île
2021,16233,16233,Mosnac,Mosnac-Saint-Simeux
2021,16351,16233,Saint-Simeux,Mosnac-Saint-Simeux
2021,27676,27058,Les Trois Lacs,Les Trois Lacs
2021,53239,53249,Saint-Martin-de-Connée,Vimartin-sur-Orthe
2021,53249,53249,Saint-Pierre-sur-Orthe,Vimartin-sur-Orthe
2021,53274,53249,Vimarcé,Vimartin-sur-Orthe
2020,21183,21183,Collonges-lès-Premières,Collonges-et-Premières
2020,21507,21183,Premières,Collonges-et-Premières
2020,21213,21452,Crimolois,Neuilly-Crimolois
2020,21452,21452,Neuilly-lès-Dijon,Neuilly-Crimolois
2020,45287,45307,Saint-Loup-de-Gonois,La Selle-sur-le-Bied
2020,45307,45307,La Selle-sur-le-Bied,La Selle-sur-le-Bied
2019,1033,1033,Bellegarde-sur-Valserine,Valserhône
2019,1091,1033,Châtillon-en-Michaille,Valserhône
2019,1205,1033,Lancrans,Valserhône
2019,1036,1036,Belmont-Luthézieu,Valromey-sur-Séran
2019,1221,1036,Lompnieu,Valromey-sur-Séran
2019,1414,1036,Sutrieu,Valromey-sur-Séran
2019,1442,1036,Vieu,Valromey-sur-Séran
2019,1130,1130,Cras-sur-Reyssouze,Bresse Vallons
2019,1154,1130,Étrez,Bresse Vallons
2019,1122,1185,Cormaranche-en-Bugey,Plateau d'Hauteville
2019,1185,1185,Hauteville-Lompnes,Plateau d'Hauteville
2019,1186,1185,Hostiaz,Plateau d'Hauteville
2019,1417,1185,Thézillieu,Plateau d'Hauteville
2019,1215,1215,Lhôpital,Surjoux-Lhopital
2019,1413,1215,Surjoux,Surjoux-Lhopital
2019,1227,1227,Magnieu,Magnieu
2019,1341,1227,Saint-Champ,Magnieu
2019,1059,1453,Brénaz,Arvière-en-Valromey
2019,1097,1453,Chavornay,Arvière-en-Valromey
2019,1218,1453,Lochieu,Arvière-en-Valromey
2019,1453,1453,Virieu-le-Petit,Arvière-en-Valromey
2019,2018,2018,Anizy-le-Château,Anizy-le-Grand
2019,2301,2018,Faucoucourt,Anizy-le-Grand
2019,2434,2018,Lizy,Anizy-le-Grand
2019,2153,2153,Cessières,Cessières-Suzy
2019,2733,2153,Suzy,Cessières-Suzy
2019,2360,2360,Guignicourt,Villeneuve-sur-Aisne
2019,2475,2360,Menneville,Villeneuve-sur-Aisne
2019,5001,5001,Abriès,Abriès-Ristolas
2019,5120,5001,Ristolas,Abriès-Ristolas
2019,7011,7011,Antraigues-sur-Volane,Vallées-d'Antraigues-Asperjoc
2019,7016,7011,Asperjoc,Vallées-d'Antraigues-Asperjoc
2019,7103,7103,Intres,Saint-Julien-d'Intres
2019,7252,7103,Saint-Julien-Boutières,Saint-Julien-d'Intres
2019,7165,7165,Nonières,Belsentes
2019,7256,7165,Saint-Julien-Labrousse,Belsentes
2019,7135,7262,Laval-d'Aurelle,Saint-Laurent-les-Bains-Laval-d'Aurelle
2019,7262,7262,Saint-Laurent-les-Bains,Saint-Laurent-les-Bains-Laval-d'Aurelle
2019,8042,8173,Balaives-et-Butz,Flize
2019,8079,8173,Boutancourt,Flize
2019,8152,8173,Élan,Flize
2019,8173,8173,Flize,Flize
2019,9028,9296,Aulos,Aulos-Sinsat
2019,9296,9296,Sinsat,Aulos-Sinsat
2019,9135,9334,Goulier,Val-de-Sos
2019,9286,9334,Sem,Val-de-Sos
2019,9302,9334,Suc-et-Sentenac,Val-de-Sos
2019,9334,9334,Vicdessos,Val-de-Sos
2019,11131,11131,Fa,Val-du-Faby
2019,11329,11131,Rouvenac,Val-du-Faby
2019,11251,11251,Montlaur,Val-de-Dagne
2019,11298,11251,Pradelles-en-Val,Val-de-Dagne
2019,11097,11323,Conilhac-de-la-Montagne,Roquetaillade-et-Conilhac
2019,11323,11323,Roquetaillade,Roquetaillade-et-Conilhac
2019,14126,14126,Cambremer,Cambremer
2019,14604,14126,Saint-Laurent-du-Mont,Cambremer
2019,14002,14150,Acqueville,Cesny-les-Sources
2019,14013,14150,Angoville,Cesny-les-Sources
2019,14150,14150,Cesny-Bois-Halbout,Cesny-les-Sources
2019,14505,14150,Placy,Cesny-les-Sources
2019,14703,14150,Tournebu,Cesny-les-Sources
2019,14185,14514,Coudray-Rabut,Pont-l'Évêque
2019,14514,14514,Pont-l'Évêque,Pont-l'Évêque
2019,14339,14538,Hubert-Folie,Castine-en-Plaine
2019,14538,14538,Rocquancourt,Castine-en-Plaine
2019,14691,14538,Tilly-la-Campagne,Castine-en-Plaine
2019,14294,14554,Garcelles-Secqueville,Le Castelet
2019,14554,14554,Saint-Aignan-de-Cramesnil,Le Castelet
2019,14307,14713,Goupillières,Montillières-sur-Orne
2019,14713,14713,Trois-Monts,Montillières-sur-Orne
2019,15027,15027,Calvinet,Puycapel
2019,15136,15027,Mourjou,Puycapel
2019,16005,16005,Aigre,Aigre
2019,16411,16005,Villejésus,Aigre
2019,16046,16046,Côteaux du Blanzacais,Coteaux-du-Blanzacais
2019,16332,16046,Saint-Léger,Coteaux-du-Blanzacais
2019,16110,16110,Courcôme,Courcôme
2019,16391,16110,Tuzie,Courcôme
2019,16410,16110,Villegats,Courcôme
2019,16153,16153,Gondeville,Mainxe-Gondeville
2019,16202,16153,Mainxe,Mainxe-Gondeville
2019,16149,16192,Genouillac,Terres-de-Haute-Charente
2019,16192,16192,Roumazières-Loubert,Terres-de-Haute-Charente
2019,16214,16192,Mazières,Terres-de-Haute-Charente
2019,16259,16192,La Péruse,Terres-de-Haute-Charente
2019,16376,16192,Suris,Terres-de-Haute-Charente
2019,16281,16281,La Rochefoucauld,La Rochefoucauld-en-Angoumois
2019,16344,16281,Saint-Projet-Saint-Constant,La Rochefoucauld-en-Angoumois
2019,16156,16286,Gourville,Rouillac
2019,16286,16286,Rouillac,Rouillac
2019,16017,16339,Anville,Val-d'Auge
2019,16051,16339,Bonneville,Val-d'Auge
2019,16228,16339,Montigné,Val-d'Auge
2019,16339,16339,Auge-Saint-Médard,Val-d'Auge
2019,16274,16406,Rancogne,Moulins-sur-Tardoire
2019,16406,16406,Vilhonneur,Moulins-sur-Tardoire
2019,17189,17219,Hiers-Brouage,Marennes-Hiers-Brouage
2019,17219,17219,Marennes,Marennes-Hiers-Brouage
2019,17272,17340,Péré,Saint-Pierre-La-Noue
2019,17340,17340,Saint-Germain-de-Marencennes,Saint-Pierre-La-Noue
2019,17169,17344,La Frédière,Saint-Hilaire-de-Villefranche
2019,17344,17344,Saint-Hilaire-de-Villefranche,Saint-Hilaire-de-Villefranche
2019,18023,18023,Baugy,Baugy
2019,18123,18023,Laverdines,Baugy
2019,18239,18023,Saligny-le-Vif,Baugy
2019,18073,18073,Corquoy,Corquoy
2019,18222,18073,Sainte-Lunaise,Corquoy
2019,19019,19019,Beaulieu-sur-Dordogne,Beaulieu-sur-Dordogne
2019,19032,19019,Brivezac,Beaulieu-sur-Dordogne
2019,19098,19098,Lagarde-Enval,Lagarde-Marc-la-Tour
2019,19127,19098,Marc-la-Tour,Lagarde-Marc-la-Tour
2019,19101,19101,Laguenne,Laguenne-sur-Avalouze
2019,19185,19101,Saint-Bonnet-Avalouze,Laguenne-sur-Avalouze
2019,21178,21178,Clémencey,Valforêt
2019,21513,21178,Quemigny-Poisot,Valforêt
2019,21073,21272,Bierre-lès-Semur,Le Val-Larrey
2019,21272,21272,Flée,Le Val-Larrey
2019,21352,21352,Longeault,Longeault-Pluvault
2019,21486,21352,Pluvault,Longeault-Pluvault
2019,21621,21623,Tart-l'Abbaye,Tart
2019,21623,21623,Tart-le-Haut,Tart
2019,22093,22093,Lamballe,Lamballe-Armor
2019,22154,22093,Morieux,Lamballe-Armor
2019,22173,22093,Planguenoual,Lamballe-Armor
2019,22038,22206,Châtelaudren,Châtelaudren-Plouagat
2019,22206,22206,Plouagat,Châtelaudren-Plouagat
2019,22100,22219,Langast,Plouguenast-Langast
2019,22219,22219,Plouguenast,Plouguenast-Langast
2019,22078,22264,Hengoat,La Roche-Jaudy
2019,22247,22264,Pommerit-Jaudy,La Roche-Jaudy
2019,22253,22264,Pouldouran,La Roche-Jaudy
2019,22264,22264,La Roche-Derrien,La Roche-Jaudy
2019,23109,23109,Linard,Linard-Malval
2019,23121,23109,Malval,Linard-Malval
2019,23126,23189,Masbaraud-Mérignat,Saint-Dizier-Masbaraud
2019,23189,23189,Saint-Dizier-Leyrenne,Saint-Dizier-Masbaraud
2019,24064,24064,Brantôme en Périgord,Brantôme en Périgord
2019,24079,24064,Cantillac,Brantôme en Périgord
2019,24170,24064,Eyvirat,Brantôme en Périgord
2019,24198,24064,La Gonterie-Boulouneix,Brantôme en Périgord
2019,24391,24064,Saint-Crépin-de-Richemont,Brantôme en Périgord
2019,24530,24064,Sencenac-Puy-de-Fourches,Brantôme en Périgord
2019,24561,24064,Valeuil,Brantôme en Périgord
2019,24172,24172,Les Eyzies-de-Tayac-Sireuil,Les Eyzies
2019,24249,24172,Manaurie,Les Eyzies
2019,24389,24172,Saint-Cirq,Les Eyzies
2019,24233,24259,Laveyssière,Eyraud-Crempse-Maurens
2019,24259,24259,Maurens,Eyraud-Crempse-Maurens
2019,24427,24259,Saint-Jean-d'Eyraud,Eyraud-Crempse-Maurens
2019,24431,24259,Saint-Julien-de-Crempse,Eyraud-Crempse-Maurens
2019,24127,24364,Coly,Coly-Saint-Amand
2019,24364,24364,Saint-Amand-de-Coly,Coly-Saint-Amand
2019,24402,24423,Sainte-Eulalie-d'Eymet,Saint-Julien-Innocence-Eulalie
2019,24423,24423,Sainte-Innocence,Saint-Julien-Innocence-Eulalie
2019,24433,24423,Saint-Julien-d'Eymet,Saint-Julien-Innocence-Eulalie
2019,24181,24534,Flaugeac,Sigoulès-et-Flaugeac
2019,24534,24534,Sigoulès,Sigoulès-et-Flaugeac
2019,25140,25156,Chaux-lès-Clerval,Pays-de-Clerval
2019,25156,25156,Pays de Clerval,Pays-de-Clerval
2019,25027,25245,Arguel,Fontain
2019,25245,25245,Fontain,Fontain
2019,25250,25558,Foucherans,Tarcenay-Foucherans
2019,25558,25558,Tarcenay,Tarcenay-Foucherans
2019,26086,26086,Châtillon-en-Diois,Châtillon-en-Diois
2019,26354,26086,Treschenu-Creyers,Châtillon-en-Diois
2019,26184,26210,Miribel,Valherbasse
2019,26210,26210,Montrigaud,Valherbasse
2019,26297,26210,Saint-Bonnet-de-Valclérieux,Valherbasse
2019,27070,27070,Boisemont,Frenelles-en-Vexin
2019,27175,27070,Corny,Frenelles-en-Vexin
2019,27270,27070,Fresne-l'Archevêque,Frenelles-en-Vexin
2019,27198,27198,Mesnils-sur-Iton,Mesnils-sur-Iton
2019,27297,27198,Grandvilliers,Mesnils-sur-Iton
2019,27416,27198,Buis-sur-Damville,Mesnils-sur-Iton
2019,27491,27198,Roman,Mesnils-sur-Iton
2019,27263,27263,Fourmetot,Le Perrey
2019,27581,27263,Saint-Ouen-des-Champs,Le Perrey
2019,27607,27263,Saint-Thurien,Le Perrey
2019,27516,27516,Saint-Aubin-le-Vertueux,Treis-Sants-en-Ouche
2019,27523,27516,Saint-Clair-d'Arcey,Treis-Sants-en-Ouche
2019,27600,27516,Saint-Quentin-des-Isles,Treis-Sants-en-Ouche
2019,27541,27541,Saint-Georges-du-Mesnil,Le Mesnil-Saint-Jean
2019,27551,27541,Saint-Jean-de-la-Léqueraye,Le Mesnil-Saint-Jean
2019,27143,27685,Champignolles,La Vieille-Lyre
2019,27685,27685,La Vieille-Lyre,La Vieille-Lyre
2019,28018,28018,Authon-du-Perche,Authon-du-Perche
2019,28376,28018,Soizé,Authon-du-Perche
2019,28002,28199,Allaines-Mervilliers,Janville-en-Beauce
2019,28199,28199,Janville,Janville-en-Beauce
2019,28311,28199,Le Puiset,Janville-en-Beauce
2019,28063,28236,Brunelles,Arcisses
2019,28112,28236,Coudreceau,Arcisses
2019,28236,28236,Margon,Arcisses
2019,28165,28331,Frétigny,Saintigny
2019,28331,28331,Saint-Denis-d'Authou,Saintigny
2019,28205,28334,Lanneray,Saint-Denis-Lanneray
2019,28334,28334,Saint-Denis-les-Ponts,Saint-Denis-Lanneray
2019,28406,28406,Eole-en-Beauce,Éole-en-Beauce
2019,28412,28406,Villeau,Éole-en-Beauce
2019,29199,29199,Plouigneau,Plouigneau
2019,29219,29199,Le Ponthou,Plouigneau
2019,29129,29227,Locmaria-Berrien,Poullaouen
2019,29227,29227,Poullaouen,Poullaouen
2019,30052,30052,Bréau-et-Salagosse,Bréau-Mars
2019,30157,30052,Mars,Bréau-Mars
2019,30190,30339,Notre-Dame-de-la-Rouvière,Val-d'Aigoual
2019,30339,30339,Valleraugue,Val-d'Aigoual
2019,31298,31471,Lez,Saint-Béat-Lez
2019,31471,31471,Saint-Béat,Saint-Béat-Lez
2019,32074,32344,Cannet,Riscle
2019,32344,32344,Riscle,Riscle
2019,33008,33008,Arbis,Porte-de-Benauge
2019,33092,33008,Cantois,Porte-de-Benauge
2019,33055,33055,Blaignan,Blaignan-Prignac
2019,33338,33055,Prignac-en-Médoc,Blaignan-Prignac
2019,33267,33380,Marcillac,Val-de-Livenne
2019,33380,33380,Saint-Caprais-de-Blaye,Val-de-Livenne
2019,34246,34246,Saint-Christol,Entre-Vignes
2019,34330,34246,Vérargues,Entre-Vignes
2019,35004,35004,Antrain,Val-Couesnon
2019,35113,35004,La Fontenelle,Val-Couesnon
2019,35303,35004,Saint-Ouen-la-Rouërie,Val-Couesnon
2019,35341,35004,Tremblay,Val-Couesnon
2019,35100,35163,Dompierre-du-Chemin,Luitré-Dompierre
2019,35163,35163,Luitré,Luitré-Dompierre
2019,35184,35184,Montauban-de-Bretagne,Montauban-de-Bretagne
2019,35301,35184,Saint-M'Hervon,Montauban-de-Bretagne
2019,35053,35220,Chancé,Piré-Chancé
2019,35220,35220,Piré-sur-Seiche,Piré-Chancé
2019,35269,35282,Saint-Georges-de-Chesné,Rives-du-Couesnon
2019,35282,35282,Saint-Jean-sur-Couesnon,Rives-du-Couesnon
2019,35293,35282,Saint-Marc-sur-Couesnon,Rives-du-Couesnon
2019,35348,35282,Vendel,Rives-du-Couesnon
2019,35011,35292,Baillé,Saint-Marc-le-Blanc
2019,35292,35292,Saint-Marc-le-Blanc,Saint-Marc-le-Blanc
2019,35147,35308,Lanhélin,Mesnil-Roc'h
2019,35308,35308,Saint-Pierre-de-Plesguen,Mesnil-Roc'h
2019,35344,35308,Tressé,Mesnil-Roc'h
2019,36093,36093,Levroux,Levroux
2019,36206,36093,Saint-Pierre-de-Lamps,Levroux
2019,36072,36244,Faverolles-en-Berry,Villentrois-Faverolles-en-Berry
2019,36244,36244,Villentrois,Villentrois-Faverolles-en-Berry
2019,38073,38073,Chantelouve,Chantepérier
2019,38302,38073,Le Périer,Chantepérier
2019,38163,38163,La Ferrière,Le Haut-Bréda
2019,38306,38163,Pinsot,Le Haut-Bréda
2019,38025,38284,Balbins,Ornacieux-Balbins
2019,38284,38284,Ornacieux,Ornacieux-Balbins
2019,38367,38395,Saint-Bernard,Plateau-des-Petites-Roches
2019,38395,38395,Saint-Hilaire,Plateau-des-Petites-Roches
2019,38435,38395,Saint-Pancrasse,Plateau-des-Petites-Roches
2019,38016,38479,Arzay,Porte-des-Bonnevaux
2019,38121,38479,Commelle,Porte-des-Bonnevaux
2019,38274,38479,Nantoin,Porte-des-Bonnevaux
2019,38479,38479,Semons,Porte-des-Bonnevaux
2019,38293,38560,Panissage,Val-de-Virieu
2019,38560,38560,Virieu,Val-de-Virieu
2019,39043,39043,Beaufort,Beaufort-Orbagna
2019,39395,39043,Orbagna,Beaufort-Orbagna
2019,39130,39130,Nanchez,Nanchez
2019,39417,39130,Les Piards,Nanchez
2019,39562,39130,Villard-sur-Bienne,Nanchez
2019,39089,39137,Cézia,Saint-Hymetière-sur-Valouse
2019,39137,39137,Chemilla,Saint-Hymetière-sur-Valouse
2019,39287,39137,Lavans-sur-Valouse,Saint-Hymetière-sur-Valouse
2019,39483,39137,Saint-Hymetière,Saint-Hymetière-sur-Valouse
2019,39190,39190,Dampierre,Dampierre
2019,39414,39190,Le Petit-Mercey,Dampierre
2019,39075,39199,Bréry,Domblans
2019,39199,39199,Domblans,Domblans
2019,39115,39258,Château-des-Prés,Grande-Rivière Château
2019,39258,39258,Grande-Rivière,Grande-Rivière Château
2019,39286,39286,Lavans-lès-Saint-Claude,Lavans-lès-Saint-Claude
2019,39440,39286,Pratz,Lavans-lès-Saint-Claude
2019,39113,39339,Chassal,Chassal-Molinges
