"insee_com","lib_com","id_pvd","id_ti","id_crte","id_acv","id_ami","id_fabp","id_amm","id_habinclus","id_cite","id_cde","id_fs","id_acv2","id_va","id_site"
"01001","L'Abergement-Clémenciat",,,"crte-84-01-7",,,,,,,,,,,
"01002","L'Abergement-de-Varey",,,"crte-84-01-8",,,,,,,,,,,
"01004","Ambérieu-en-Bugey",,,"crte-84-01-8","acv-008",,,,,,,"634",,,
"01005","Ambérieux-en-Dombes",,,"crte-84-01-2",,,,,,,,,,,
"01006","Ambléon",,,"crte-84-01-6",,,,"amm-jur-02",,,,,,,
"01007","Ambronay",,,"crte-84-01-8",,,,,,,,,,,
"01008","Ambutrix",,,"crte-84-01-8",,,,,,,,,,,
"01009","Andert-et-Condon",,,"crte-84-01-6",,,,"amm-jur-02",,,,,,,
"01010","Anglefort",,"ti-8418","crte-84-74-13",,"ami-jur-04",,,,,,,,,
"01011","Apremont",,"ti-8413","crte-84-01-5",,"ami-jur-04",,,,,,,,,
"01012","Aranc",,"ti-8413","crte-84-01-5",,,,,,,,,,,
"01013","Arandas",,,"crte-84-01-8",,,,,,,,,,,
"01014","Arbent",,"ti-8413","crte-84-01-5",,,,,,,,,,,
"01015","Arboys en Bugey",,,"crte-84-01-6",,,,"amm-jur-02",,,,,,,
"01016","Arbigny",,,"crte-84-01-12",,,,,,,,,,,
"01017","Argis",,,"crte-84-01-8",,,,,,,,,,,
"01019","Armix",,,"crte-84-01-6",,,,"amm-jur-02",,,,,,,
"01021","Ars-sur-Formans",,,"crte-84-01-2",,,,,,,,,,,
"01022","Artemare",,,"crte-84-01-6",,"ami-jur-04",,"amm-jur-02",,,,,,,
"01023","Asnières-sur-Saône",,,"crte-84-01-12",,,,,,,,,,,
"01024","Attignat",,"ti-8402","crte-84-01-1",,,,,,,,"2326",,,
"01025","Bâgé-Dommartin",,,"crte-84-01-12",,,,,,,,,,,
"01026","Bâgé-le-Châtel",,,"crte-84-01-12",,,,,,,,,,,
"01027","Balan",,,"crte-84-01-11",,,,,,,,,,,
"01028","Baneins",,,"crte-84-01-7",,,,,,,,,,,
"01029","Beaupont",,"ti-8402","crte-84-01-1",,,,,,,,,,,
"01030","Beauregard",,,"crte-84-01-2",,,,,,,,,,,
"01031","Bellignat",,"ti-8413","crte-84-01-5",,,,,,"cite-111",,,,,
"01032","Béligneux",,,"crte-84-01-11",,,,,,,,,,,
"01033","Valserhône","pvd-84-01-1","ti-8412","crte-84-74-8 ; crte-84-01-14",,"ami-jur-04",,,,,,"1",,,
"01034","Belley","pvd-84-01-2",,"crte-84-01-6",,,,"amm-jur-02",,,,"2325",,,
"01035","Belleydoux",,"ti-8413","crte-84-01-5",,"ami-jur-04",,,,,,,,,
"01036","Valromey-sur-Séran",,,"crte-84-01-6",,"ami-jur-04",,"amm-jur-02",,,,,,"va-01-01",
"01037","Bénonces",,,"crte-84-01-8",,,,,,,,,,,
"01038","Bény",,"ti-8402","crte-84-01-1",,,,,,,,,,,
"01040","Béréziat",,"ti-8402","crte-84-01-1",,,,,,,,,,,
"01041","Bettant",,,"crte-84-01-8",,,,,,,,,,,
"01042","Bey",,"ti-8402","crte-84-01-9",,,,,,,,,,,
"01043","Beynost",,,"crte-84-01-10",,,,,,,,,,,
"01044","Billiat",,"ti-8412","crte-84-74-8 ; crte-84-01-14",,"ami-jur-04",,,,,,,,,
"01045","Birieux",,,"crte-84-01-7",,,,,,,,,,,
"01046","Biziat",,"ti-8402","crte-84-01-9",,,,,,,,,,,
"01047","Blyes",,,"crte-84-01-8",,,,,,,,,,,
"01049","La Boisse",,,"crte-84-01-11",,,,,,,,,,,
"01050","Boissey",,,"crte-84-01-12",,,,,,,,,,,
"01051","Bolozon",,"ti-8413","crte-84-01-5",,,,,,,,,,,
"01052","Bouligneux",,,"crte-84-01-7",,,,,,,,,,,
"01053","Bourg-en-Bresse",,"ti-8402","crte-84-01-1","acv-035",,,,,,,"2571",,,
"01054","Bourg-Saint-Christophe",,,"crte-84-01-8",,,,,,,,,,,
"01056","Boyeux-Saint-Jérôme",,,"crte-84-01-3",,,,,,,,,,,
"01057","Boz",,,"crte-84-01-12",,,,,,,,,,,
"01058","Brégnier-Cordon",,,"crte-84-01-6",,,,"amm-jur-02",,,,,,,
"01060","Brénod",,"ti-8413","crte-84-01-5",,,,,,,,,,,
"01061","Brens",,,"crte-84-01-6",,,,"amm-jur-02",,,,,,,
"01062","Bressolles",,,"crte-84-01-11",,,,,,,,,,,
"01063","Brion",,"ti-8413","crte-84-01-5",,,,,,,,,,"va-01-02",
"01064","Briord",,,"crte-84-01-8",,,,,,,,,,,
"01065","Buellas",,"ti-8402","crte-84-01-1",,,,,,,,,,,
"01066","La Burbanche",,,"crte-84-01-6",,,,"amm-jur-02",,,,,,,
"01067","Ceignes",,"ti-8413","crte-84-01-5",,,,,,,,,,,
"01068","Cerdon",,,"crte-84-01-3",,,,,,,,,,"va-01-03",
"01069","Certines",,"ti-8402","crte-84-01-1",,,,,,,,,,,
"01071","Cessy",,"ti-8412","crte-84-74-8 ; crte-84-01-13",,"ami-jur-07",,,,,,,,,
