ANNEE_MODIF,COM_INI,COM_FIN,LIB_COM_INI,LIB_COM_FIN
2024,60054,60054,Les Hauts-Talican,Beaumont-les-Nonains
2024,60054,60694,Les Hauts-Talican,Les Hauts-Talican
2024,85084,85084,Essarts en Bocage,Essarts-en-Bocage
2024,85084,85165,Essarts en Bocage,L’Oie
2024,85084,85212,Essarts en Bocage,Sainte-Florence
2020,14712,14666,Saline,Sannerville
2020,14712,14712,Saline,Troarn
2017,76676,76601,Sigy-en-Bray,Saint-Lucien
2017,76676,76676,Sigy-en-Bray,Sigy-en-Bray
2015,55298,55138,Losey-Culey,Culey
2015,55298,55298,Loisey-Culey,Loisey
2014,76108,76095,Bois-Guillaume-Bihorel,Bihorel
2014,76108,76108,Bois-Guillaume-Bihorel,Bois-Guillaume
2012,52031,52031,Autreville-sur-la-Renne,Autreville-sur-la-Renne
2012,52332,52033,Val-de-Meuse,Avrecourt
2012,52504,52124,Terre-Natale,Chézeaux
2012,52427,52266,Robert-Magny-Laneuville-à-Rémy,Laneuville-à-Rémy
2012,52031,52278,Autreville-sur-la-Renne,Lavilleneuve-au-Roi
2012,52332,52332,Val-de-Meuse,Val-de-Meuse
2012,52427,52427,Robert-Magny-Laneuville-à-Rémy,Robert-Magny
2012,52332,52465,Val-de-Meuse,Saulxures
2012,52504,52504,Terre-Natale,Varennes-sur-Amance
2009,31483,31300,Saint-Gaudens,Lieoux
2009,31483,31483,Saint-Gaudens,Saint-Gaudens
2009,89387,89326,Sens,Rosoy
2009,89387,89387,Sens,Sens
2008,35130,35130,Hédé,Hédé
2008,35130,35317,Hédé,Saint-Symphorien
2008,62119,62119,Béthune,Béthune
2008,62119,62847,Béthune,Verquigneul
2007,51136,51136,Châtillon-sur-Marne,Châtillon-sur-Marne
2007,51136,51201,Châtillon-sur-Marne,Cuisles
2007,67242,67057,Kirrwiller-Bosselshausen,Bosselshausen
2007,67242,67242,Kirrwiller-Bosselshausen,Kirrwiller
2006,14149,14149,Cesny-aux-Vignes-Ouézy,Cesny-aux-Vignes
2006,14149,14482,Cesny-aux-Vignes-Ouézy,Ouézy
2005,22179,22179,Fréhel,Fréhel
2005,22179,22201,Fréhel,Plévenon
2005,52359,52359,Nully-Trémilly,Nully
2005,52359,52495,Nully-Trémilly,Trémilly
2004,47157,47157,Marmande,Marmande
2004,47157,47163,Marmande,Mauvezin-sur-Gupie
2004,55419,55068,Récicourt,Brabant-en-Argonne
2004,55419,55082,Récicourt,Brocourt-en-Argonne
2004,55419,55419,Récicourt,Récicourt
2004,89055,89055,Brienon-sur-Armançon,Brienon-sur-Armançon
2004,89055,89288,Brienon-sur-Armançon,Paroy-en-Othe
