CODE INSEE;DÉPARTEMENTS;COMMUNES
11086;11;Caves 
11144;11;Fitou 
11145;11;Fleury 
11170;11;Gruissan 
11188;11;La Palme 
11202;11;Leucate 
11262;11;Narbonne 
11266;11;Port-la-Nouvelle 
11322;11;Roquefort-des-Corbières 
13011;13;Les Baux-de-Provence 
13021;13;Carry-le-Rouet 
13022;13;Cassis 
13033;13;Ensuès-la-Redonne 
13053;13;Mallemort 
13058;13;Maussane-les-Alpilles 
13061;13;Saint-Pierre-de-Mézoargues 
13065;13;Mouriès 
13068;13;Paradou 
13090;13;Saint-Antonin-sur-Bayon 
13094;13;Saint-Étienne-du-Grès 
13096;13;Saintes-Maries-de-la-Mer 
13099;13;Saint-Paul-lès-Durance 
13100;13;Saint-Rémy-de-Provence 
13104;13;Sausset-les-Pins 
13111;13;Vauvenargues 
14001;14;Ablon 
14016;14;Annebault 
14019;14;Arganchy 
14021;14;Arromanches-les-Bains 
14022;14;Asnelles 
14024;14;Auberville 
14032;14;Les Authieux-sur-Calonne 
14033;14;Auvillars 
14041;14;Barneville-la-Bertran 
14049;14;Bazenville 
14055;14;Beaumont-en-Auge 
14059;14;Benerville-sur-Mer 
14066;14;Bernières-sur-Mer 
14070;14;Beuvron-en-Auge 
14079;14;Blonville-sur-Mer 
14083;14;Bonnebosq 
14086;14;Bonneville-sur-Touques 
14091;14;Bourgeauville 
14093;14;Branville 
14104;14;Le Brévedent 
14110;14;Brucourt 
14117;14;Cabourg 
14126;14;Cambremer 
14131;14;Canapville 
14161;14;Clarbec 
14166;14;Colleville-Montgomery 
14169;14;Colombiers-sur-Seulles 
14172;14;Commes 
14191;14;Courseulles-sur-Mer 
14193;14;Courtonne-la-Meurdrac 
14198;14;Cresseveuille 
14202;14;Cricquebœuf 
14203;14;Cricqueville-en-Auge 
14218;14;Danestal 
14220;14;Deauville 
14225;14;Dives-sur-Mer 
14227;14;Douville-en-Auge 
14230;14;Drubec 
14231;14;Beaufour-Druval 
14238;14;Englesqueville-en-Auge 
14243;14;Équemauville 
14260;14;Fauguernon 
14269;14;Fierville-les-Parcs 
14280;14;Formentin 
14285;14;Le Fournet 
14286;14;Fourneville 
14293;14;Fumichon 
14298;14;Géfosse-Fontenay 
14299;14;Genneville 
14300;14;Gerrots 
14302;14;Glanville 
14304;14;Gonneville-sur-Honfleur 
14305;14;Gonneville-sur-Mer 
14306;14;Gonneville-en-Auge 
14308;14;Goustranville 
14312;14;Grandcamp-Maisy 
14316;14;Grangues 
14318;14;Graye-sur-Mer 
14325;14;Hermanville-sur-Mer 
14329;14;Heuland 
14333;14;Honfleur 
14335;14;Hotot-en-Auge 
14337;14;La Houblonnière 
14338;14;Houlgate 
14354;14;Langrune-sur-Mer 
14358;14;Léaupartie 
14365;14;Lion-sur-Mer 
14377;14;Longues-sur-Mer 
14384;14;Luc-sur-Mer 
14391;14;Maisons 
