com_code;com_siren;com_name;epci_siren;epci_name;dep_siren;dep_name;reg_siren;reg_name;ept_siren;ept_name
97614;200008852;Ouangani;200059871;CC du Centre-Ouest;229850003;Mayotte;"";Mayotte;;
97610;200008811;Koungou;200060465;CA du Grand Nord de Mayotte;229850003;Mayotte;"";Mayotte;;
97603;200008738;Bandrele;200060473;CC du Sud;229850003;Mayotte;"";Mayotte;;
97612;200008845;Mtsamboro;200060465;CA du Grand Nord de Mayotte;229850003;Mayotte;"";Mayotte;;
97611;200008837;Mamoudzou;200060457;CA de Dembeni / Mamoudzou;229850003;Mayotte;"";Mayotte;;
97607;200008787;Dembeni;200060457;CA de Dembeni / Mamoudzou;229850003;Mayotte;"";Mayotte;;
97608;200008795;Dzaoudzi;200050532;CC de Petite-Terre;229850003;Mayotte;"";Mayotte;;
97615;200008860;Pamandzi;200050532;CC de Petite-Terre;229850003;Mayotte;"";Mayotte;;
97605;200008753;Chiconi;200059871;CC du Centre-Ouest;229850003;Mayotte;"";Mayotte;;
97604;200008746;Bouéni;200060473;CC du Sud;229850003;Mayotte;"";Mayotte;;
97602;200008720;Bandraboua;200060465;CA du Grand Nord de Mayotte;229850003;Mayotte;"";Mayotte;;
97613;200008829;M'Tsangamouji;200059871;CC du Centre-Ouest;229850003;Mayotte;"";Mayotte;;
97415;219740156;Saint-Paul;249740101;CA Territoire de la Côte Ouest (TCO);229740014;La Réunion;239740012;La Réunion;;
97416;219740164;Saint-Pierre;249740077;CA CIVIS (Communauté Intercommunale des Villes Solidaires);229740014;La Réunion;239740012;La Réunion;;
97417;219740172;Saint-Philippe;249740085;CA du Sud;229740014;La Réunion;239740012;La Réunion;;
97418;219740180;Sainte-Marie;249740119;CA Intercommunale du Nord de la Réunion (CINOR);229740014;La Réunion;239740012;La Réunion;;
97419;219740198;Sainte-Rose;249740093;CA Intercommunale de la Réunion Est (CIREST);229740014;La Réunion;239740012;La Réunion;;
97420;219740206;Sainte-Suzanne;249740119;CA Intercommunale du Nord de la Réunion (CINOR);229740014;La Réunion;239740012;La Réunion;;
97421;219740214;Salazie;249740093;CA Intercommunale de la Réunion Est (CIREST);229740014;La Réunion;239740012;La Réunion;;
97422;219740222;Le Tampon;249740085;CA du Sud;229740014;La Réunion;239740012;La Réunion;;
97423;219740230;Les Trois-Bassins;249740101;CA Territoire de la Côte Ouest (TCO);229740014;La Réunion;239740012;La Réunion;;
97424;219740248;Cilaos;249740077;CA CIVIS (Communauté Intercommunale des Villes Solidaires);229740014;La Réunion;239740012;La Réunion;;
02539;210205167;Nauroy;240200493;CC du Pays du Vermandois;220200026;Aisne;200053742;Hauts-de-France;;
02540;210205175;Nesles-la-Montagne;200072031;CA de la Région de Château-Thierry;220200026;Aisne;200053742;Hauts-de-France;;
02541;210205183;Neufchâtel-sur-Aisne;240200576;CC de la Champagne Picarde;220200026;Aisne;200053742;Hauts-de-France;;
02542;210205191;Neuflieux;200071785;CA Chauny-Tergnier-La Fère;220200026;Aisne;200053742;Hauts-de-France;;
02543;210205209;Neuilly-Saint-Front;200072031;CA de la Région de Château-Thierry;220200026;Aisne;200053742;Hauts-de-France;;
02544;210205217;Neuve-Maison;240200600;CC des Trois Rivières;220200026;Aisne;200053742;Hauts-de-France;;
02545;210205225;La Neuville-Bosmont;240200469;CC du Pays de la Serre;220200026;Aisne;200053742;Hauts-de-France;;
02546;210205233;La Neuville-en-Beine;200071785;CA Chauny-Tergnier-La Fère;220200026;Aisne;200053742;Hauts-de-France;;
02547;210205241;La Neuville-Housset;240200444;CC de la Thiérache du Centre;220200026;Aisne;200053742;Hauts-de-France;;
02548;210205258;La Neuville-lès-Dorengt;240200444;CC de la Thiérache du Centre;220200026;Aisne;200053742;Hauts-de-France;;
91027;219100278;Athis-Mons;200054781;Métropole du Grand Paris;229102280;Essonne;237500079;Île-de-France;200058014;Grand-Orly Seine Bièvre
91326;219103264;Juvisy-sur-Orge;200054781;Métropole du Grand Paris;229102280;Essonne;237500079;Île-de-France;200058014;Grand-Orly Seine Bièvre
91432;219104320;Morangis;200054781;Métropole du Grand Paris;229102280;Essonne;237500079;Île-de-France;200058014;Grand-Orly Seine Bièvre
91479;219104791;Paray-Vieille-Poste;200054781;Métropole du Grand Paris;229102280;Essonne;237500079;Île-de-France;200058014;Grand-Orly Seine Bièvre
91589;219105897;Savigny-sur-Orge;200054781;Métropole du Grand Paris;229102280;Essonne;237500079;Île-de-France;200058014;Grand-Orly Seine Bièvre
91687;219106879;Viry-Châtillon;200054781;Métropole du Grand Paris;229102280;Essonne;237500079;Île-de-France;200058014;Grand-Orly Seine Bièvre
92002;219200029;Antony;200054781;Métropole du Grand Paris;229200506;Hauts-de-Seine;237500079;Île-de-France;200057966;Vallée Sud-Grand Paris
92004;219200045;Asnières-sur-Seine;200054781;Métropole du Grand Paris;229200506;Hauts-de-Seine;237500079;Île-de-France;200057990;Boucle Nord de Seine
92007;219200078;Bagneux;200054781;Métropole du Grand Paris;229200506;Hauts-de-Seine;237500079;Île-de-France;200057966;Vallée Sud-Grand Paris
92009;219200094;Bois-Colombes;200054781;Métropole du Grand Paris;229200506;Hauts-de-Seine;237500079;Île-de-France;200057990;Boucle Nord de Seine
92012;219200128;Boulogne-Billancourt;200054781;Métropole du Grand Paris;229200506;Hauts-de-Seine;237500079;Île-de-France;200057974;Grand Paris Seine Ouest
92014;219200144;Bourg-la-Reine;200054781;Métropole du Grand Paris;229200506;Hauts-de-Seine;237500079;Île-de-France;200057966;Vallée Sud-Grand Paris
92019;219200193;Châtenay-Malabry;200054781;Métropole du Grand Paris;229200506;Hauts-de-Seine;237500079;Île-de-France;200057966;Vallée Sud-Grand Paris
92020;219200201;Châtillon;200054781;Métropole du Grand Paris;229200506;Hauts-de-Seine;237500079;Île-de-France;200057966;Vallée Sud-Grand Paris
92022;219200227;Chaville;200054781;Métropole du Grand Paris;229200506;Hauts-de-Seine;237500079;Île-de-France;200057974;Grand Paris Seine Ouest
92023;219200235;Clamart;200054781;Métropole du Grand Paris;229200506;Hauts-de-Seine;237500079;Île-de-France;200057966;Vallée Sud-Grand Paris
92024;219200243;Clichy;200054781;Métropole du Grand Paris;229200506;Hauts-de-Seine;237500079;Île-de-France;200057990;Boucle Nord de Seine
92025;219200250;Colombes;200054781;Métropole du Grand Paris;229200506;Hauts-de-Seine;237500079;Île-de-France;200057990;Boucle Nord de Seine
92026;219200268;Courbevoie;200054781;Métropole du Grand Paris;229200506;Hauts-de-Seine;237500079;Île-de-France;200057982;Paris Ouest La Défense
92032;219200326;Fontenay-aux-Roses;200054781;Métropole du Grand Paris;229200506;Hauts-de-Seine;237500079;Île-de-France;200057966;Vallée Sud-Grand Paris
92033;219200334;Garches;200054781;Métropole du Grand Paris;229200506;Hauts-de-Seine;237500079;Île-de-France;200057982;Paris Ouest La Défense
92035;219200359;La Garenne-Colombes;200054781;Métropole du Grand Paris;229200506;Hauts-de-Seine;237500079;Île-de-France;200057982;Paris Ouest La Défense
92036;219200367;Gennevilliers;200054781;Métropole du Grand Paris;229200506;Hauts-de-Seine;237500079;Île-de-France;200057990;Boucle Nord de Seine
