code_commune;Type_taxe;thlv_taux-n+2
13201;TLV appliqué;
13202;TLV appliqué;
13203;TLV appliqué;
13204;TLV appliqué;
13205;TLV appliqué;
13206;TLV appliqué;
13207;TLV appliqué;
13208;TLV appliqué;
13209;TLV appliqué;
13210;TLV appliqué;
13211;TLV appliqué;
13212;TLV appliqué;
13213;TLV appliqué;
13214;TLV appliqué;
13215;TLV appliqué;
13216;TLV appliqué;
69381;TLV appliqué;
69382;TLV appliqué;
69383;TLV appliqué;
69384;TLV appliqué;
69385;TLV appliqué;
69386;TLV appliqué;
69387;TLV appliqué;
69388;TLV appliqué;
69389;TLV appliqué;
75101;TLV appliqué;
75102;TLV appliqué;
75103;TLV appliqué;
75104;TLV appliqué;
75105;TLV appliqué;
75106;TLV appliqué;
75107;TLV appliqué;
75108;TLV appliqué;
75109;TLV appliqué;
75110;TLV appliqué;
75111;TLV appliqué;
75112;TLV appliqué;
75113;TLV appliqué;
75114;TLV appliqué;
75115;TLV appliqué;
75116;TLV appliqué;
75117;TLV appliqué;
75118;TLV appliqué;
75119;TLV appliqué;
75120;TLV appliqué;
97102;THLV non appliquée;
97414;THLV appliquée;57.9
59153;THLV non appliquée;
2A322;THLV non appliquée;
11369;THLV appliquée;53.7
97617;THLV non appliquée;
5066;THLV non appliquée;
59527;TLV appliqué;
97122;THLV non appliquée;
59375;THLV appliquée;51.0
59131;THLV non appliquée;
59328;TLV appliqué;
97605;THLV non appliquée;
59286;TLV appliqué;
59253;THLV appliquée;49.6
2B311;THLV appliquée;48.7
97604;THLV non appliquée;
97606;THLV non appliquée;
59606;THLV non appliquée;
59421;TLV appliqué;
59650;TLV appliqué;
59155;THLV appliquée;46.6
59017;THLV appliquée;46.3
59616;THLV non appliquée;
59350;TLV appliqué;
11405;THLV non appliquée;
59220;TLV appliqué;
59094;THLV appliquée;45.4
59386;TLV appliqué;
66075;THLV non appliquée;
59646;TLV appliqué;
59360;TLV appliqué;
59183;THLV non appliquée;
44027;THLV non appliquée;
59163;TLV appliqué;
62057;THLV non appliquée;
34301;TLV appliqué;
59599;TLV appliqué;
59152;TLV appliqué;
11360;THLV non appliquée;
59508;TLV appliqué;
62893;THLV appliquée;44.4
2B194;THLV non appliquée;
59636;TLV appliqué;
11212;THLV appliquée;44.0
97105;THLV non appliquée;
11354;THLV non appliquée;
32098;THLV non appliquée;
59339;TLV appliqué;
80565;THLV non appliquée;
11233;THLV appliquée;43.5
62160;THLV appliquée;43.5
66154;THLV non appliquée;
59299;TLV appliqué;
59098;TLV appliqué;
62746;THLV non appliquée;
62667;THLV appliquée;42.9
59316;THLV appliquée;42.9
59033;THLV appliquée;42.9
59009;TLV appliqué;
62119;THLV appliquée;42.8
59481;THLV non appliquée;
11041;THLV non appliquée;
59512;TLV appliqué;
44122;THLV non appliquée;
59648;TLV appliqué;
59113;THLV non appliquée;
44221;THLV non appliquée;
2B096;THLV non appliquée;
11189;THLV non appliquée;
59090;TLV appliqué;
59352;TLV appliqué;
10298;THLV appliquée;42.4
59178;THLV appliquée;42.3
59392;THLV appliquée;42.2
79243;THLV non appliquée;
59331;THLV non appliquée;
11012;THLV non appliquée;
59207;THLV non appliquée;
44179;THLV non appliquée;
11150;THLV non appliquée;
88171;THLV non appliquée;
35351;THLV appliquée;41.8
62276;THLV non appliquée;
25089;THLV non appliquée;
11372;THLV non appliquée;
62048;THLV appliquée;41.6
59193;TLV appliqué;
11023;THLV non appliquée;
22002;THLV non appliquée;
51198;THLV non appliquée;
62770;THLV non appliquée;
59656;TLV appliqué;
11217;THLV non appliquée;
11433;THLV appliquée;41.4
97609;THLV non appliquée;
97612;THLV non appliquée;
62193;THLV appliquée;41.3
11146;THLV non appliquée;
62349;THLV non appliquée;
59507;TLV appliqué;
62645;THLV appliquée;41.2
32295;THLV non appliquée;
88264;THLV non appliquée;
30189;THLV appliquée;41.1
79336;THLV non appliquée;
59275;TLV appliqué;
59279;TLV appliqué;
62643;THLV non appliquée;
11353;THLV non appliquée;
59660;TLV appliqué;
97614;THLV non appliquée;
97126;THLV non appliquée;
59043;THLV appliquée;40.7
62473;THLV non appliquée;
59332;TLV appliqué;
55140;THLV non appliquée;
64204;THLV non appliquée;
97104;THLV non appliquée;
59609;TLV appliqué;
59550;THLV non appliquée;
59431;THLV non appliquée;
59303;THLV appliquée;40.6
35304;THLV appliquée;40.5
97303;THLV non appliquée;
59051;THLV non appliquée;
53035;THLV non appliquée;
59378;TLV appliqué;
34108;TLV appliqué;
59271;THLV non appliquée;
59301;THLV non appliquée;
11366;THLV non appliquée;
59278;TLV appliqué;
59320;THLV non appliquée;
2B246;THLV non appliquée;
51079;THLV non appliquée;
59367;TLV appliqué;
32387;THLV non appliquée;
59067;THLV appliquée;40.0
59553;TLV appliqué;
53068;THLV non appliquée;
59457;TLV appliqué;
51457;THLV non appliquée;
11092;THLV non appliquée;
59324;THLV non appliquée;
53225;THLV non appliquée;
97603;THLV non appliquée;
11153;THLV non appliquée;
62765;THLV appliquée;39.7
97310;THLV non appliquée;
34022;THLV appliquée;39.7
62361;THLV non appliquée;
59651;THLV non appliquée;
62014;THLV appliquée;39.5
2B188;THLV non appliquée;
59653;THLV appliquée;39.4
59309;THLV non appliquée;
59501;THLV appliquée;39.4
59482;TLV appliqué;
29011;THLV non appliquée;
2A323;THLV non appliquée;
59601;THLV appliquée;39.3
32336;THLV non appliquée;
11056;THLV appliquée;39.2
59658;THLV appliquée;39.2
59611;TLV appliqué;
59522;TLV appliqué;
11220;THLV non appliquée;
79177;THLV non appliquée;
59340;THLV appliquée;39.0
59168;THLV non appliquée;
22278;THLV appliquée;38.9
55484;THLV non appliquée;
11394;THLV non appliquée;
62758;THLV non appliquée;
59104;THLV non appliquée;
59211;THLV non appliquée;
29212;THLV non appliquée;
59202;THLV appliquée;38.8
11070;THLV non appliquée;
22360;THLV appliquée;38.7
86194;THLV appliquée;38.7
59273;THLV non appliquée;
59201;THLV appliquée;38.7
59403;THLV non appliquée;
59272;THLV non appliquée;
77058;TLV appliqué;
11318;THLV non appliquée;
62848;THLV appliquée;38.6
2B072;THLV non appliquée;
59302;THLV non appliquée;
11432;THLV non appliquée;
22004;THLV non appliquée;
53180;THLV appliquée;38.4
22346;THLV non appliquée;
79115;THLV non appliquée;
32342;THLV non appliquée;
62041;THLV appliquée;38.4
62474;THLV non appliquée;
85227;THLV non appliquée;
62300;THLV appliquée;38.3
51414;THLV non appliquée;
59524;THLV non appliquée;
62235;THLV appliquée;38.3
59143;THLV appliquée;38.3
59569;THLV appliquée;38.3
59654;THLV appliquée;38.3
80466;THLV non appliquée;
59365;THLV appliquée;38.2
2B219;THLV non appliquée;
59249;THLV non appliquée;
59173;THLV appliquée;38.1
11164;THLV non appliquée;
62847;THLV non appliquée;
71499;THLV non appliquée;
65481;THLV non appliquée;
59637;THLV appliquée;38.0
59079;THLV non appliquée;
34142;THLV appliquée;38.0
11428;THLV non appliquée;
62065;THLV appliquée;38.0
62626;THLV appliquée;38.0
13004;TLV appliqué;
59484;THLV appliquée;37.9
32391;THLV non appliquée;
53148;THLV non appliquée;
11440;THLV non appliquée;
