id_commune;zonage
2A001;B1
2A004;A
2A006;B1
2A008;B1
2A011;B2
2A014;B2
2A017;B1
2A018;B2
2A019;B2
2A021;B2
2A022;B2
2A024;B2
2A026;B2
2A027;B2
2A028;B2
2A031;B2
2A032;B1
2A035;B2
2A038;B2
2A040;B2
2A041;A
2A048;B2
2A056;B2
2A060;B2
2A061;B2
2A062;B2
2A064;B2
2A065;B2
2A066;B2
2A070;B2
2A071;B2
2A085;B2
2A089;B2
2A090;B2
2A091;B2
2A092;B2
2A094;B2
2A098;B2
2A099;B2
2A100;B2
2A103;B1
2A104;B2
2A108;B2
2A114;B2
2A115;B2
2A117;B2
2A118;B2
2A119;B2
2A127;B1
2A128;B2
2A129;B2
2A130;B1
2A131;B2
2A132;B2
2A133;B2
2A139;B1
2A141;B2
2A142;B2
2A144;B2
2A146;B2
2A154;B2
2A158;B2
2A160;B2
2A163;B2
2A174;B2
2A181;B2
2A186;B2
2A189;B2
2A191;B2
2A196;B2
2A197;B2
2A198;B2
2A200;B2
2A203;B2
2A204;B2
2A209;B1
2A211;B2
2A212;B2
2A215;B2
2A228;B1
2A232;B2
2A240;B2
2A247;A
2A249;B1
2A253;B2
2A254;B2
2A258;B2
2A259;B2
2A262;B2
2A266;B2
2A268;B2
2A269;B2
2A270;B2
2A271;B1
2A272;B1
2A276;B2
2A278;B2
2A279;B2
2A282;B2
2A284;B2
2A285;B2
2A288;B2
2A295;B2
2A300;B2
2A308;B2
2A310;B2
2A312;B2
2A322;B2
2A323;B1
2A324;B2
2A326;B2
2A330;B2
2A331;B2
2A336;B1
2A345;B2
2A348;B2
2A349;B2
2A351;B1
2A357;B2
2A358;B2
2A359;B2
2A360;B2
2A362;B2
2A363;B2
2B002;B2
2B003;B2
2B005;B2
2B007;B2
2B009;B2
2B010;B1
2B012;B2
2B013;B2
2B015;B2
2B016;B2
2B020;B1
2B023;B2
2B025;B2
2B029;B2
2B030;B2
2B033;B1
2B034;B2
2B036;B2
2B037;B1
2B039;B2
2B042;B1
2B043;B1
2B045;B2
2B046;B2
2B047;B2
2B049;B1
2B050;B1
2B051;B2
2B052;B2
2B053;B2
2B054;B2
2B055;B2
2B057;B2
2B058;B2
2B059;B2
2B063;B2
2B067;B2
2B068;B2
2B069;B2
2B072;B2
2B073;B2
2B074;B2
2B075;B2
2B077;B1
2B078;B2
2B079;B2
2B080;B2
2B081;B2
2B082;B2
2B083;B2
2B084;B2
2B086;B2
2B087;B2
2B088;B2
2B093;B1
2B095;B2
2B096;B2
2B097;B2
2B101;B2
2B102;B2
2B105;B2
2B106;B2
2B107;B2
2B109;B2
2B110;B2
2B111;B2
2B112;B2
2B113;B2
2B116;B2
2B120;B1
2B121;B2
2B122;B2
2B123;B2
2B124;B2
2B125;B2
2B126;B2
2B134;B1
2B135;B2
2B136;B2
2B137;B2
2B138;B2
2B140;B2
2B143;B2
2B145;B2
2B147;B2
2B148;B1
2B149;B2
2B150;B1
2B152;B2
2B153;B2
2B155;B2
2B156;B2
2B157;B2
2B159;B2
2B161;B2
2B162;B2
2B164;B2
2B165;B1
2B166;B2
2B167;B2
2B168;B1
2B169;B2
2B170;B2
2B171;B2
2B172;B2
2B173;B2
2B175;B2
2B176;B2
2B177;B2
2B178;B2
2B179;B2
2B180;B2
2B182;B2
2B183;B2
2B184;B2
2B185;B2
2B187;B2
2B188;B2
2B190;B2
2B192;B2
2B193;B2
2B194;B2
2B195;B2
2B199;B2
2B201;B2
2B202;B2
2B205;B2
2B206;B2
2B207;B1
2B208;B2
2B210;B2
2B213;B2
2B214;B2
2B216;B2
2B217;B2
2B218;B2
2B219;B2
2B220;B2
2B221;B2
2B222;B2
2B223;B2
2B224;B2
2B225;B2
2B226;B2
2B227;B2
2B229;B2
2B230;B2
2B231;B1
2B233;B2
2B234;B2
2B235;B2
2B236;B2
2B238;B2
2B239;B2
2B241;B2
2B242;B1
2B243;B2
